0.7838 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['PTB', 'sounddevice', 'pyo', 'pygame'] (in that order).
17.6412 	EXP 	image_stim: autoDraw = False
17.6412 	EXP 	text_stim: autoDraw = False
17.6412 	EXP 	button_left: autoDraw = False
17.6412 	EXP 	trial_label_left: autoDraw = False
17.6412 	EXP 	button_right: autoDraw = False
17.6412 	EXP 	trial_label_right: autoDraw = False
17.6412 	EXP 	feedback_msg: text = '+'
17.6412 	EXP 	feedback_msg: autoDraw = True
17.6872 	DATA 	Mouse:  Left button up, pos=(622,206)
18.6329 	EXP 	New trial (rep=0, index=3): OrderedDict([('stimImage', 'stimuli/blank.png'), ('stimWord', 'Hurt'), ('CorrAns', 'l')])
18.6577 	EXP 	feedback_msg: autoDraw = False
18.6577 	EXP 	image_stim: image = 'stimuli/blank.png'
18.6577 	EXP 	text_stim: text = 'Hurt'
18.6577 	EXP 	trial_label_left: text = 'A = \nPositive'
18.6577 	EXP 	trial_label_right: text = 'L = \nNegative'
18.6577 	EXP 	fixation: autoDraw = True
19.1487 	EXP 	fixation: autoDraw = False
19.1487 	EXP 	image_stim: autoDraw = True
19.1487 	EXP 	text_stim: autoDraw = True
19.1487 	EXP 	button_left: autoDraw = True
19.1487 	EXP 	trial_label_left: autoDraw = True
19.1487 	EXP 	button_right: autoDraw = True
19.1487 	EXP 	trial_label_right: autoDraw = True
20.1605 	DATA 	Mouse: Left button down, pos=(1388,238)
20.1846 	EXP 	fixation: autoDraw = False
20.1846 	EXP 	image_stim: autoDraw = False
20.1846 	EXP 	text_stim: autoDraw = False
20.1846 	EXP 	button_left: autoDraw = False
20.1846 	EXP 	trial_label_left: autoDraw = False
20.1846 	EXP 	button_right: autoDraw = False
20.1846 	EXP 	trial_label_right: autoDraw = False
20.1846 	EXP 	feedback_msg: text = '+'
20.1846 	EXP 	feedback_msg: autoDraw = True
20.2718 	DATA 	Mouse:  Left button up, pos=(1388,238)
21.1772 	EXP 	New trial (rep=0, index=4): OrderedDict([('stimImage', 'stimuli/blank.png'), ('stimWord', 'Love'), ('CorrAns', 'a')])
21.2036 	EXP 	feedback_msg: autoDraw = False
21.2036 	EXP 	image_stim: image = 'stimuli/blank.png'
21.2036 	EXP 	text_stim: text = 'Love'
21.2036 	EXP 	trial_label_left: text = 'A = \nPositive'
21.2036 	EXP 	trial_label_right: text = 'L = \nNegative'
