instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,1.3623,,,,,,,,1.3623,1,0,17,17,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,0.9279,,,,,,,,0.9279,1,0,18,18,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,1.4433,,,,,,,,1.4433,1,0,19,19,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,incong_test.xlsx,"A = 
Black or 
Positive","L = 
White or 
Negative"
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,2.7627,,,,,,,,2.7627,1,0,0,0,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,1.9733,,,,,,,,1.9733,1,0,1,1,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,1.0234,,,,,,,,1.0234,1,0,2,2,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,0,1.4141,,,,,,,,1.4141,0,0,3,3,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,1.1444,,,,,,,,1.1444,1,0,4,4,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,1.0828,,,,,,,,1.0828,1,0,5,5,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,0,0.9952,,,,,,,,0.9952,0,0,6,6,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,1.7278,,,,,,,,1.7278,1,0,7,7,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,1.5421,,,,,,,,1.5421,1,0,8,8,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,1.2122,,,,,,,,1.2122,1,0,9,9,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,2.9207,,,,,,,,2.9207,1,0,0,0,10,1,stimuli/blank.png,Good,a,,,,,,,,
