instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.013888863,-0.238888911,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.290740776,-0.347222247,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.405555556,-0.312037065,1,0,0,1.014205,button_right,1.014205,0,0,6,6,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.394444444,-0.315740797,1,0,0,1.547815,button_right,1.547815,1,0,7,7,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.427777778,-0.319444444,1,0,0,1.3968,button_left,1.3968,1,0,8,8,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.404629686,-0.319444444,1,0,0,0.74859,button_right,0.74859,1,0,9,9,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.394444444,-0.323148176,1,0,0,0.949065,button_right,0.949065,1,0,10,10,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.407407464,-0.335185242,1,0,0,1.029325,button_right,1.029325,1,0,11,11,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.448148134,-0.282407464,1,0,0,0.947845,button_left,0.947845,1,0,12,12,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.415740712,-0.293518575,1,0,0,0.948555,button_left,0.948555,0,0,13,13,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.400925954,-0.311111111,1,0,0,0.74676,button_right,0.74676,1,0,14,14,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.404629686,-0.302777778,1,0,0,0.83104,button_right,0.83104,0,0,15,15,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.45,-0.303703732,1,0,0,0.90323,button_left,0.90323,1,0,16,16,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.449074046,-0.323148176,1,0,0,1.846895,button_left,1.846895,1,0,17,17,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.435185157,-0.309259288,1,0,0,1.163445,button_left,1.163445,1,0,18,18,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.437962935,-0.309259288,1,0,0,0.748325,button_left,0.748325,1,0,19,19,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,cong_test.xlsx,"A = 
White or 
Positive","L = 
Black or 
Negative"
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.442592578,-0.325,1,0,0,1.082825,button_left,1.082825,1,0,0,0,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.399074131,-0.305555556,1,0,0,0.78167,button_right,0.78167,1,0,1,1,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.445370356,-0.304629686,1,0,0,0.697815,button_left,0.697815,1,0,2,2,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.452777778,-0.324074131,1,0,0,0.59728,button_left,0.59728,1,0,3,3,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.445370356,-0.366666667,1,0,0,0.53168,button_left,0.53168,1,0,4,4,2,1,stimuli/black_2.jpg,,a,,,,,,,,
